id,predict_0,predict_1,predict_2
11066,0.895645231882,0.104354768118,0.0
18000,0.463460781613,0.156527621646,0.380011596741
16964,1.0,0.0,0.0
4795,0.8,0.2,0.0
3392,0.223417066171,0.390979627072,0.385603306758
3795,0.400476190476,0.599523809524,0.0
2881,0.79168328915,0.20831671085,0.0
1903,0.209836573366,0.350170622435,0.439992804198
5245,0.959881363191,0.0401186368087,0.0
6726,1.0,0.0,0.0
1311,0.963415753986,0.0365842460138,0.0
15795,0.831091058622,0.168908941378,0.0
4315,0.896918817741,0.103081182259,0.0
3393,0.325096450766,0.113806128185,0.561097421049
6764,0.399300699301,0.600699300699,0.0
13039,0.780982156977,0.219017843023,0.0
12331,0.9,0.1,0.0
14276,0.0,1.0,0.0
14638,0.831091058622,0.168908941378,0.0
6573,0.982348628866,0.0176513711336,0.0
2222,0.463460781613,0.156527621646,0.380011596741
8824,0.885285714286,0.114714285714,0.0
6360,0.7,0.3,0.0
7553,0.253779845772,0.227764421083,0.518455733144
13760,0.528588443665,0.438945747712,0.0324658086225
4284,0.360402097902,0.639597902098,0.0
1356,0.882615147806,0.0688361750497,0.0485486771446
3410,0.945773634379,0.0542263656207,0.0
4830,0.183333333333,0.816666666667,0.0
8998,0.35621161836,0.601255763144,0.0425326184956
18052,0.997826086957,0.00217391304348,0.0
7539,0.899808181328,0.100191818672,0.0
9529,0.945773634379,0.0542263656207,0.0
3656,0.934336115282,0.0656638847179,0.0
14238,0.833333333333,0.166666666667,0.0
2682,0.699367460529,0.300632539471,0.0
7312,0.2,0.775,0.025
12971,0.756825396825,0.243174603175,0.0
10735,0.831091058622,0.168908941378,0.0
4050,0.822136393019,0.177863606981,0.0
5943,0.899808181328,0.100191818672,0.0
6482,0.475607609711,0.524392390289,0.0
9746,0.463460781613,0.156527621646,0.380011596741
13320,0.463460781613,0.156527621646,0.380011596741
803,0.704298245614,0.287807017544,0.00789473684211
15437,1.0,0.0,0.0
12302,0.955728734765,0.0442712652346,0.0
12271,0.831091058622,0.168908941378,0.0
5341,0.934336115282,0.0656638847179,0.0
4427,0.982348628866,0.0176513711336,0.0
529,1.0,0.0,0.0
2022,1.0,0.0,0.0
14625,0.955728734765,0.0442712652346,0.0
2922,0.223417066171,0.390979627072,0.385603306758
16330,0.133102420115,0.491822699389,0.375074880496
12890,0.831091058622,0.168908941378,0.0
2140,0.895645231882,0.104354768118,0.0
13484,0.823779939361,0.176220060639,0.0
12392,1.0,0.0,0.0
2322,0.46148989899,0.0882575757576,0.450252525253
567,0.328772155571,0.284398992503,0.386828851926
4436,0.608533245421,0.391466754579,0.0
12156,0.982348628866,0.0176513711336,0.0
7508,0.919530798149,0.0804692018508,0.0
6184,0.888888888889,0.111111111111,0.0
12213,0.948348236914,0.0243216594034,0.0273301036825
6458,0.179478557505,0.44200278474,0.378518657755
13967,1.0,0.0,0.0
894,0.947103744209,0.052896255791,0.0
7461,0.173018672504,0.268956092927,0.558025234569
8949,0.9125,0.0875,0.0
3477,0.622140758771,0.306137387387,0.0717218538414
2779,0.79168328915,0.20831671085,0.0
13551,1.0,0.0,0.0
8297,0.959881363191,0.0401186368087,0.0
5050,0.35621161836,0.601255763144,0.0425326184956
10716,0.48656790106,0.51343209894,0.0
16075,0.651666666667,0.348333333333,0.0
1366,0.803424908425,0.196575091575,0.0
774,0.831091058622,0.168908941378,0.0
7406,0.972966148505,0.0270338514953,0.0
2526,0.285502453825,0.533637848006,0.180859698168
9649,0.959881363191,0.0401186368087,0.0
16115,0.376955904433,0.623044095567,0.0
14749,0.9,0.0,0.1
14952,0.412601010101,0.0,0.587398989899
4786,0.54179197995,0.0263157894737,0.431892230576
16513,0.895116573361,0.104883426639,0.0
2002,1.0,0.0,0.0
4701,0.5,0.5,0.0
7742,0.833333333333,0.166666666667,0.0
5905,0.794047619048,0.205952380952,0.0
685,0.691253565825,0.279126614809,0.0296198193655
11857,1.0,0.0,0.0
11628,0.287271348037,0.296132851181,0.416595800782
15024,0.823779939361,0.176220060639,0.0
4168,0.948348236914,0.0243216594034,0.0273301036825
11914,0.4,0.6,0.0
5293,0.831091058622,0.168908941378,0.0
3374,0.278211324116,0.721788675884,0.0
13055,1.0,0.0,0.0
17759,0.223417066171,0.390979627072,0.385603306758
590,0.577088766732,0.422911233268,0.0
1353,1.0,0.0,0.0
11938,0.0166666666667,0.6375,0.345833333333
1018,0.165450571138,0.439673588543,0.394875840319
14945,0.831091058622,0.168908941378,0.0
1001,0.823779939361,0.176220060639,0.0
3587,0.986517274744,0.0134827252557,0.0
868,0.831091058622,0.168908941378,0.0
9296,0.287271348037,0.296132851181,0.416595800782
12455,0.79168328915,0.20831671085,0.0
17132,1.0,0.0,0.0
10240,1.0,0.0,0.0
3696,0.463460781613,0.156527621646,0.380011596741
10355,0.15,0.85,0.0
2206,0.333333333333,0.666666666667,0.0
14590,1.0,0.0,0.0
13191,1.0,0.0,0.0
5882,1.0,0.0,0.0
12653,0.831091058622,0.168908941378,0.0
1491,0.390894105894,0.499719447219,0.109386446886
1176,0.92,0.0733333333333,0.00666666666667
11246,0.463460781613,0.156527621646,0.380011596741
14557,0.46148989899,0.0882575757576,0.450252525253
4772,0.1,0.56253968254,0.33746031746
17192,0.831091058622,0.168908941378,0.0
10637,0.902762028231,0.0972379717694,0.0
3281,0.959881363191,0.0401186368087,0.0
3191,0.568074640307,0.380518197034,0.0514071626589
672,0.831091058622,0.168908941378,0.0
6301,0.823779939361,0.176220060639,0.0
10309,0.967589913867,0.0324100861332,0.0
1734,0.791423496812,0.208576503188,0.0
2990,0.594444444444,0.405555555556,0.0
5746,0.142857142857,0.857142857143,0.0
15289,0.823779939361,0.176220060639,0.0
2971,0.831091058622,0.168908941378,0.0
9771,0.483454899159,0.287857183694,0.228687917147
11253,0.0,1.0,0.0
14576,0.2,0.625,0.175
